iter	Passed	Remaining
0	0	96
1	1	86
2	2	82
3	3	77
4	4	77
5	4	75
6	5	74
7	6	73
8	7	73
9	7	71
10	8	71
11	9	70
12	10	69
13	11	68
14	11	67
15	12	66
16	13	66
17	14	65
18	15	64
19	15	63
20	16	62
21	17	61
22	18	61
23	18	60
24	19	59
25	20	58
26	21	57
27	22	56
28	22	55
29	23	55
30	24	54
31	25	53
32	26	52
33	26	51
34	27	51
35	28	50
36	29	49
37	29	48
38	30	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	34	42
45	35	41
46	36	41
47	37	40
48	38	39
49	38	38
50	39	38
51	40	37
52	41	36
53	42	35
54	42	34
55	43	34
56	44	33
57	44	32
58	45	31
59	46	30
60	47	30
61	48	29
62	48	28
63	49	27
64	50	27
65	51	26
66	52	25
67	53	24
68	53	24
69	54	23
70	55	22
71	56	21
72	57	21
73	58	20
74	58	19
75	59	18
76	60	18
77	61	17
78	62	16
79	63	15
80	64	15
81	64	14
82	65	13
83	66	12
84	67	11
85	68	11
86	69	10
87	70	9
88	71	8
89	72	8
90	72	7
91	73	6
92	74	5
93	75	4
94	76	4
95	77	3
96	78	2
97	79	1
98	80	0
99	81	0
